Neighborhood,Property Crime,Violent Crime,zip
ALASKA JUNCTION,697,81,98116
ALASKA JUNCTION,697,81,98126
ALKI,169,25,98116
BALLARD NORTH,810,60,98107
BALLARD SOUTH,1842,132,98107
BALLARD SOUTH,1842,132,98117
BELLTOWN,761,165,98121
BITTERLAKE,898,130,98133
BRIGHTON/DUNLAP,429,90,98118
CAPITOL HILL,2536,464,98102
CAPITOL HILL,2536,464,98112
CAPITOL HILL,2536,464,98122
CENTRAL AREA/SQUIRE PARK,1034,135,98122
CENTRAL AREA/SQUIRE PARK,1034,135,98144
CHINATOWN/INTERNATIONAL DISTRICT,648,59,98104
CLAREMONT/RAINIER VISTA,203,26,98118
COLUMBIA CITY,289,2,98118
COMMERCIAL DUWAMISH,21,2,98106
COMMERCIAL DUWAMISH,21,2,98108
COMMERCIAL HARBOR ISLAND,10,375,98134
DOWNTOWN COMMERCIAL,1362,3,98101
DOWNTOWN COMMERCIAL,1362,3,98104
EASTLAKE - WEST,325,12,98102
EASTLAKE - WEST,325,12,98109
FAUNTLEROY SW,170,243,98126
FAUNTLEROY SW,170,243,98136
FIRST HILL,1308,49,98104
FIRST HILL,1308,49,98122
FREMONT,835,20,98103
FREMONT,835,20,98107
GENESEE,178,45,98116
GENESEE,178,45,98126
GEORGETOWN,557,101,98108
GREENWOOD,768,54,98103
GREENWOOD,768,54,98117
HIGH POINT,257,35,98126
HIGHLAND PARK,443,32,98106
HIGHLAND PARK,443,32,98126
HILLMAN CITY,187,66,98118
JUDKINS PARK/NORTH BEACON HILL,469,178,98144
LAKECITY,1093,14,98125
LAKEWOOD/SEWARD PARK,238,7,98118
MADISON PARK,158,38,98112
MADRONA/LESCHI,863,52,98122
MAGNOLIA,715,41,98199
MID BEACON HILL,330,19,98144
MILLER PARK,392,13,98112
MONTLAKE/PORTAGE BAY,351,27,98102
MONTLAKE/PORTAGE BAY,351,27,98112
MORGAN,417,116,98126
MOUNT BAKER,703,64,98144
MOUNT BAKER,703,64,98118
NEW HOLLY,244,41,98118
NORTH ADMIRAL,466,166,98116
NORTH BEACON HILL,828,43,98144
NORTH DELRIDGE,254,294,98106
NORTH DELRIDGE,254,294,98126
NORTHGATE,1865,21,98125
NORTHGATE,1865,21,98133
PHINNEY RIDGE,351,5,98103
PIGEON POINT,41,119,98106
PIONEER SQUARE,369,194,98104
QUEEN ANNE,2401,114,98109
QUEEN ANNE,2401,114,98119
RAINIER BEACH,512,34,98118
RAINIER BEACH,512,34,98178
RAINIER VIEW,262,114,98178
ROOSEVELT/RAVENNA,1896,96,98105
ROOSEVELT/RAVENNA,1896,96,98115
ROXHILL/WESTWOOD/ARBOR HEIGHTS,797,123,98106
ROXHILL/WESTWOOD/ARBOR HEIGHTS,797,123,98126
ROXHILL/WESTWOOD/ARBOR HEIGHTS,797,123,98136
SANDPOINT,1174,261,98115
SLU/CASCADE,1813,80,98109
SODO,833,18,98134
SOUTH BEACON HILL,100,17,98144
SOUTH BEACON HILL,100,17,98118
SOUTH DELRIDGE,228,30,98106
SOUTH DELRIDGE,228,30,98126
SOUTH PARK,188,236,98108
UNIVERSITY,1942,52,98105
WALLINGFORD,710,44,98103
